Date,Elevation (ft AMSL),Temp (oC),DO (mg/L)
1/4/2010,559.4,10.3,6.81
1/4/2010,550,10.3,6.84
1/4/2010,530,10.3,6.5
1/4/2010,510,10.3,5.86
1/4/2010,490,10.3,5.7
1/11/2010,560.2,10.4,7.39
1/11/2010,550,10.4,7.19
1/11/2010,530,10.3,6.58
1/11/2010,510,10.3,6.29
1/11/2010,490,10.2,6.06
1/25/2010,561.7,10.2,8.45
1/25/2010,550,10.1,8.5
1/25/2010,530,10.1,8.29
1/25/2010,510,10.2,7.87
1/25/2010,490,10.2,7.52
2/1/2010,562.5,10.2,7.62
2/1/2010,550,10.2,7.37
2/1/2010,530,10.1,6.68
2/1/2010,510,10.2,6.84
2/1/2010,490,10.2,6.46
2/8/2010,562.5,10.4,8.07
2/8/2010,550,10.2,7.59
2/8/2010,530,10.2,7.14
2/8/2010,510,10.1,6.8
2/8/2010,490,10.1,6.74
2/18/2010,562.6,10.6,7.81
2/18/2010,550,10.2,7.07
2/18/2010,530,10.2,6.49
2/18/2010,510,10.1,6.26
2/18/2010,490,10.1,5.99
2/22/2010,562.6,10.7,8.26
2/22/2010,550,10.3,7.83
2/22/2010,530,10.2,7.07
2/22/2010,510,10.1,6.81
2/22/2010,490,10.2,6.48
3/1/2010,562.7,11.2,8.8
3/1/2010,550,10.5,7.24
3/1/2010,530,10.3,6.59
3/1/2010,510,10.2,6.03
3/1/2010,490,10.2,5.63
3/8/2010,562.6,11,7.1
3/8/2010,550,10.5,6.19
3/8/2010,530,10.3,5.7
3/8/2010,510,10.3,5.19
3/8/2010,490,10.2,4.95
3/15/2010,562.6,11.6,8.5
3/15/2010,550,10.6,5.99
3/15/2010,530,10.3,5.79
3/15/2010,510,10.3,5.15
3/15/2010,490,10.2,4.68
3/22/2010,562.5,11.6,8.34
3/22/2010,550,10.5,6.33
3/22/2010,530,10.3,5.76
3/22/2010,510,10.3,5.38
3/22/2010,490,10.3,4.62
4/5/2010,562.3,12.4,8.55
4/5/2010,550,10.8,6.27
4/5/2010,530,10.3,5.48
4/5/2010,510,10.3,4.75
4/5/2010,490,10.3,4.6
4/19/2010,561.9,12.9,8.94
4/19/2010,550,11,6.1
4/19/2010,530,10.4,4.93
4/19/2010,510,10.4,4.47
4/19/2010,490,10.3,4.18
4/26/2010,561.7,13.1,9.24
4/26/2010,550,11.4,6.63
4/26/2010,530,10.4,5.42
4/26/2010,510,10.4,4.43
4/26/2010,490,10.3,4.51
5/3/2010,561.6,14.8,8.94
5/3/2010,550,11.8,6.61
5/3/2010,530,10.5,4.78
5/3/2010,510,10.4,3.77
5/3/2010,490,10.3,4.03
5/10/2010,561.5,16.8,7.35
5/10/2010,550,11.9,5.45
5/10/2010,530,10.5,4.16
5/10/2010,510,10.4,3.46
5/10/2010,490,10.4,3.29
5/17/2010,561.5,15,6.15
5/17/2010,550,11.8,4.81
5/17/2010,530,10.5,3.94
5/17/2010,510,10.4,3.56
5/17/2010,490,10.4,3.52
5/24/2010,561.4,15,5.07
5/24/2010,550,12.4,4.29
5/24/2010,530,10.6,4.23
5/24/2010,510,10.5,4.05
5/24/2010,490,10.5,3.94
6/2/2010,561.3,16.8,7.46
6/2/2010,550,12.6,3.67
6/2/2010,530,10.7,4.45
6/2/2010,510,10.6,4.45
6/2/2010,490,10.5,4.38
